sequence_id,speaker_id,sequence_index,utterance_ids,window_files,labels,sequence_label,escalation_label,split
seq_000010,10,10,"[""10_03-01-02-02-02-01-10"", ""10_03-01-02-02-02-02-10"", ""10_03-01-03-01-01-01-10"", ""10_03-01-03-01-01-02-10""]","[""data/processed/audio/train/10_03-01-02-02-02-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-02-02-02-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-03-01-01-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-03-01-01-02-10_win0.wav""]","[0, 0, 0, 0]",0,0,train
seq_000011,10,11,"[""10_03-01-02-02-02-02-10"", ""10_03-01-03-01-01-01-10"", ""10_03-01-03-01-01-02-10"", ""10_03-01-03-01-02-01-10""]","[""data/processed/audio/train/10_03-01-02-02-02-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-03-01-01-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-03-01-01-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-03-01-02-01-10_win0.wav""]","[0, 0, 0, 0]",0,0,train
seq_000012,10,12,"[""10_03-01-03-01-01-01-10"", ""10_03-01-03-01-01-02-10"", ""10_03-01-03-01-02-01-10"", ""10_03-01-03-01-02-02-10""]","[""data/processed/audio/train/10_03-01-03-01-01-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-03-01-01-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-03-01-02-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-03-01-02-02-10_win0.wav""]","[0, 0, 0, 0]",0,0,train
seq_000013,10,13,"[""10_03-01-03-01-01-02-10"", ""10_03-01-03-01-02-01-10"", ""10_03-01-03-01-02-02-10"", ""10_03-01-03-02-01-01-10""]","[""data/processed/audio/train/10_03-01-03-01-01-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-03-01-02-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-03-01-02-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-03-02-01-01-10_win0.wav""]","[0, 0, 0, 0]",0,0,train
seq_000014,10,14,"[""10_03-01-03-01-02-01-10"", ""10_03-01-03-01-02-02-10"", ""10_03-01-03-02-01-01-10"", ""10_03-01-03-02-01-02-10""]","[""data/processed/audio/train/10_03-01-03-01-02-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-03-01-02-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-03-02-01-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-03-02-01-02-10_win0.wav""]","[0, 0, 0, 0]",0,0,train
seq_000015,10,15,"[""10_03-01-03-01-02-02-10"", ""10_03-01-03-02-01-01-10"", ""10_03-01-03-02-01-02-10"", ""10_03-01-03-02-02-01-10""]","[""data/processed/audio/train/10_03-01-03-01-02-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-03-02-01-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-03-02-01-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-03-02-02-01-10_win0.wav""]","[0, 0, 0, 0]",0,0,train
seq_000016,10,16,"[""10_03-01-03-02-01-01-10"", ""10_03-01-03-02-01-02-10"", ""10_03-01-03-02-02-01-10"", ""10_03-01-03-02-02-02-10""]","[""data/processed/audio/train/10_03-01-03-02-01-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-03-02-01-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-03-02-02-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-03-02-02-02-10_win0.wav""]","[0, 0, 0, 0]",0,0,train
seq_000017,10,17,"[""10_03-01-03-02-01-02-10"", ""10_03-01-03-02-02-01-10"", ""10_03-01-03-02-02-02-10"", ""10_03-01-04-01-01-01-10""]","[""data/processed/audio/train/10_03-01-03-02-01-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-03-02-02-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-03-02-02-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-04-01-01-01-10_win0.wav""]","[0, 0, 0, 0]",0,0,train
seq_000018,10,18,"[""10_03-01-03-02-02-01-10"", ""10_03-01-03-02-02-02-10"", ""10_03-01-04-01-01-01-10"", ""10_03-01-04-01-01-02-10""]","[""data/processed/audio/train/10_03-01-03-02-02-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-03-02-02-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-04-01-01-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-04-01-01-02-10_win0.wav""]","[0, 0, 0, 0]",0,0,train
seq_000019,10,19,"[""10_03-01-03-02-02-02-10"", ""10_03-01-04-01-01-01-10"", ""10_03-01-04-01-01-02-10"", ""10_03-01-04-01-02-01-10""]","[""data/processed/audio/train/10_03-01-03-02-02-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-04-01-01-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-04-01-01-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-04-01-02-01-10_win0.wav""]","[0, 0, 0, 0]",0,0,train
seq_000020,10,20,"[""10_03-01-04-01-01-01-10"", ""10_03-01-04-01-01-02-10"", ""10_03-01-04-01-02-01-10"", ""10_03-01-04-01-02-02-10""]","[""data/processed/audio/train/10_03-01-04-01-01-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-04-01-01-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-04-01-02-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-04-01-02-02-10_win0.wav""]","[0, 0, 0, 0]",0,0,train
seq_000021,10,21,"[""10_03-01-04-01-01-02-10"", ""10_03-01-04-01-02-01-10"", ""10_03-01-04-01-02-02-10"", ""10_03-01-04-02-01-01-10""]","[""data/processed/audio/train/10_03-01-04-01-01-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-04-01-02-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-04-01-02-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-04-02-01-01-10_win0.wav""]","[0, 0, 0, 0]",0,0,train
seq_000022,10,22,"[""10_03-01-04-01-02-01-10"", ""10_03-01-04-01-02-02-10"", ""10_03-01-04-02-01-01-10"", ""10_03-01-04-02-01-02-10""]","[""data/processed/audio/train/10_03-01-04-01-02-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-04-01-02-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-04-02-01-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-04-02-01-02-10_win0.wav""]","[0, 0, 0, 0]",0,0,train
seq_000023,10,23,"[""10_03-01-04-01-02-02-10"", ""10_03-01-04-02-01-01-10"", ""10_03-01-04-02-01-02-10"", ""10_03-01-04-02-02-01-10""]","[""data/processed/audio/train/10_03-01-04-01-02-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-04-02-01-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-04-02-01-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-04-02-02-01-10_win0.wav""]","[0, 0, 0, 0]",0,0,train
seq_000024,10,24,"[""10_03-01-04-02-01-01-10"", ""10_03-01-04-02-01-02-10"", ""10_03-01-04-02-02-01-10"", ""10_03-01-04-02-02-02-10""]","[""data/processed/audio/train/10_03-01-04-02-01-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-04-02-01-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-04-02-02-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-04-02-02-02-10_win0.wav""]","[0, 0, 0, 0]",0,0,train
seq_000025,10,25,"[""10_03-01-04-02-01-02-10"", ""10_03-01-04-02-02-01-10"", ""10_03-01-04-02-02-02-10"", ""10_03-01-05-01-01-01-10""]","[""data/processed/audio/train/10_03-01-04-02-01-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-04-02-02-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-04-02-02-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-05-01-01-01-10_win0.wav""]","[0, 0, 0, 1]",1,0,train
seq_000026,10,26,"[""10_03-01-04-02-02-01-10"", ""10_03-01-04-02-02-02-10"", ""10_03-01-05-01-01-01-10"", ""10_03-01-05-01-01-02-10""]","[""data/processed/audio/train/10_03-01-04-02-02-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-04-02-02-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-05-01-01-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-05-01-01-02-10_win0.wav""]","[0, 0, 1, 1]",1,1,train
seq_000027,10,27,"[""10_03-01-04-02-02-02-10"", ""10_03-01-05-01-01-01-10"", ""10_03-01-05-01-01-02-10"", ""10_03-01-05-01-02-01-10""]","[""data/processed/audio/train/10_03-01-04-02-02-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-05-01-01-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-05-01-01-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-05-01-02-01-10_win0.wav""]","[0, 1, 1, 1]",1,1,train
seq_000028,10,28,"[""10_03-01-05-01-01-01-10"", ""10_03-01-05-01-01-02-10"", ""10_03-01-05-01-02-01-10"", ""10_03-01-05-01-02-02-10""]","[""data/processed/audio/train/10_03-01-05-01-01-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-05-01-01-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-05-01-02-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-05-01-02-02-10_win0.wav""]","[1, 1, 1, 1]",1,0,train
seq_000029,10,29,"[""10_03-01-05-01-01-02-10"", ""10_03-01-05-01-02-01-10"", ""10_03-01-05-01-02-02-10"", ""10_03-01-05-02-01-01-10""]","[""data/processed/audio/train/10_03-01-05-01-01-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-05-01-02-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-05-01-02-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-05-02-01-01-10_win0.wav""]","[1, 1, 1, 1]",1,0,train
seq_000030,10,30,"[""10_03-01-05-01-02-01-10"", ""10_03-01-05-01-02-02-10"", ""10_03-01-05-02-01-01-10"", ""10_03-01-05-02-01-02-10""]","[""data/processed/audio/train/10_03-01-05-01-02-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-05-01-02-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-05-02-01-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-05-02-01-02-10_win0.wav""]","[1, 1, 1, 1]",1,0,train
seq_000031,10,31,"[""10_03-01-05-01-02-02-10"", ""10_03-01-05-02-01-01-10"", ""10_03-01-05-02-01-02-10"", ""10_03-01-05-02-02-01-10""]","[""data/processed/audio/train/10_03-01-05-01-02-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-05-02-01-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-05-02-01-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-05-02-02-01-10_win0.wav""]","[1, 1, 1, 1]",1,0,train
seq_000032,10,32,"[""10_03-01-05-02-01-01-10"", ""10_03-01-05-02-01-02-10"", ""10_03-01-05-02-02-01-10"", ""10_03-01-05-02-02-02-10""]","[""data/processed/audio/train/10_03-01-05-02-01-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-05-02-01-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-05-02-02-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-05-02-02-02-10_win0.wav""]","[1, 1, 1, 1]",1,0,train
seq_000033,10,33,"[""10_03-01-05-02-01-02-10"", ""10_03-01-05-02-02-01-10"", ""10_03-01-05-02-02-02-10"", ""10_03-01-06-01-01-01-10""]","[""data/processed/audio/train/10_03-01-05-02-01-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-05-02-02-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-05-02-02-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-06-01-01-01-10_win0.wav""]","[1, 1, 1, 1]",1,0,train
seq_000034,10,34,"[""10_03-01-05-02-02-01-10"", ""10_03-01-05-02-02-02-10"", ""10_03-01-06-01-01-01-10"", ""10_03-01-06-01-01-02-10""]","[""data/processed/audio/train/10_03-01-05-02-02-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-05-02-02-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-06-01-01-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-06-01-01-02-10_win0.wav""]","[1, 1, 1, 1]",1,0,train
seq_000035,10,35,"[""10_03-01-05-02-02-02-10"", ""10_03-01-06-01-01-01-10"", ""10_03-01-06-01-01-02-10"", ""10_03-01-06-01-02-01-10""]","[""data/processed/audio/train/10_03-01-05-02-02-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-06-01-01-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-06-01-01-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-06-01-02-01-10_win0.wav""]","[1, 1, 1, 1]",1,0,train
seq_000036,10,36,"[""10_03-01-06-01-01-01-10"", ""10_03-01-06-01-01-02-10"", ""10_03-01-06-01-02-01-10"", ""10_03-01-06-01-02-02-10""]","[""data/processed/audio/train/10_03-01-06-01-01-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-06-01-01-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-06-01-02-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-06-01-02-02-10_win0.wav""]","[1, 1, 1, 1]",1,0,train
seq_000037,10,37,"[""10_03-01-06-01-01-02-10"", ""10_03-01-06-01-02-01-10"", ""10_03-01-06-01-02-02-10"", ""10_03-01-06-02-01-01-10""]","[""data/processed/audio/train/10_03-01-06-01-01-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-06-01-02-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-06-01-02-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-06-02-01-01-10_win0.wav""]","[1, 1, 1, 1]",1,0,train
seq_000038,10,38,"[""10_03-01-06-01-02-01-10"", ""10_03-01-06-01-02-02-10"", ""10_03-01-06-02-01-01-10"", ""10_03-01-06-02-01-02-10""]","[""data/processed/audio/train/10_03-01-06-01-02-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-06-01-02-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-06-02-01-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-06-02-01-02-10_win0.wav""]","[1, 1, 1, 1]",1,0,train
seq_000039,10,39,"[""10_03-01-06-01-02-02-10"", ""10_03-01-06-02-01-01-10"", ""10_03-01-06-02-01-02-10"", ""10_03-01-06-02-02-01-10""]","[""data/processed/audio/train/10_03-01-06-01-02-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-06-02-01-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-06-02-01-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-06-02-02-01-10_win0.wav""]","[1, 1, 1, 1]",1,0,train
seq_000040,10,40,"[""10_03-01-06-02-01-01-10"", ""10_03-01-06-02-01-02-10"", ""10_03-01-06-02-02-01-10"", ""10_03-01-06-02-02-02-10""]","[""data/processed/audio/train/10_03-01-06-02-01-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-06-02-01-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-06-02-02-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-06-02-02-02-10_win0.wav""]","[1, 1, 1, 1]",1,0,train
seq_000041,10,41,"[""10_03-01-06-02-01-02-10"", ""10_03-01-06-02-02-01-10"", ""10_03-01-06-02-02-02-10"", ""10_03-01-07-01-01-01-10""]","[""data/processed/audio/train/10_03-01-06-02-01-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-06-02-02-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-06-02-02-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-07-01-01-01-10_win0.wav""]","[1, 1, 1, 1]",1,0,train
seq_000042,10,42,"[""10_03-01-06-02-02-01-10"", ""10_03-01-06-02-02-02-10"", ""10_03-01-07-01-01-01-10"", ""10_03-01-07-01-01-02-10""]","[""data/processed/audio/train/10_03-01-06-02-02-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-06-02-02-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-07-01-01-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-07-01-01-02-10_win0.wav""]","[1, 1, 1, 1]",1,0,train
seq_000043,10,43,"[""10_03-01-06-02-02-02-10"", ""10_03-01-07-01-01-01-10"", ""10_03-01-07-01-01-02-10"", ""10_03-01-07-01-02-01-10""]","[""data/processed/audio/train/10_03-01-06-02-02-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-07-01-01-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-07-01-01-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-07-01-02-01-10_win0.wav""]","[1, 1, 1, 1]",1,0,train
seq_000044,10,44,"[""10_03-01-07-01-01-01-10"", ""10_03-01-07-01-01-02-10"", ""10_03-01-07-01-02-01-10"", ""10_03-01-07-01-02-02-10""]","[""data/processed/audio/train/10_03-01-07-01-01-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-07-01-01-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-07-01-02-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-07-01-02-02-10_win0.wav""]","[1, 1, 1, 1]",1,0,train
seq_000045,10,45,"[""10_03-01-07-01-01-02-10"", ""10_03-01-07-01-02-01-10"", ""10_03-01-07-01-02-02-10"", ""10_03-01-07-02-01-01-10""]","[""data/processed/audio/train/10_03-01-07-01-01-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-07-01-02-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-07-01-02-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-07-02-01-01-10_win0.wav""]","[1, 1, 1, 1]",1,0,train
seq_000046,10,46,"[""10_03-01-07-01-02-01-10"", ""10_03-01-07-01-02-02-10"", ""10_03-01-07-02-01-01-10"", ""10_03-01-07-02-01-02-10""]","[""data/processed/audio/train/10_03-01-07-01-02-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-07-01-02-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-07-02-01-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-07-02-01-02-10_win0.wav""]","[1, 1, 1, 1]",1,0,train
seq_000047,10,47,"[""10_03-01-07-01-02-02-10"", ""10_03-01-07-02-01-01-10"", ""10_03-01-07-02-01-02-10"", ""10_03-01-07-02-02-01-10""]","[""data/processed/audio/train/10_03-01-07-01-02-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-07-02-01-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-07-02-01-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-07-02-02-01-10_win0.wav""]","[1, 1, 1, 1]",1,0,train
seq_000048,10,48,"[""10_03-01-07-02-01-01-10"", ""10_03-01-07-02-01-02-10"", ""10_03-01-07-02-02-01-10"", ""10_03-01-07-02-02-02-10""]","[""data/processed/audio/train/10_03-01-07-02-01-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-07-02-01-02-10_win0.wav"", ""data/processed/audio/train/10_03-01-07-02-02-01-10_win0.wav"", ""data/processed/audio/train/10_03-01-07-02-02-02-10_win0.wav""]","[1, 1, 1, 1]",1,0,train
seq_000049,11,0,"[""11_03-01-01-01-01-01-11"", ""11_03-01-01-01-01-02-11"", ""11_03-01-01-01-02-01-11"", ""11_03-01-01-01-02-02-11""]","[""data/processed/audio/train/11_03-01-01-01-01-01-11_win0.wav"", ""data/processed/audio/train/11_03-01-01-01-01-02-11_win0.wav"", ""data/processed/audio/train/11_03-01-01-01-02-01-11_win0.wav"", ""data/processed/audio/train/11_03-01-01-01-02-02-11_win0.wav""]","[0, 0, 0, 0]",0,0,train
seq_000050,11,1,"[""11_03-01-01-01-01-02-11"", ""11_03-01-01-01-02-01-11"", ""11_03-01-01-01-02-02-11"", ""11_03-01-02-01-01-01-11""]","[""data/processed/audio/train/11_03-01-01-01-01-02-11_win0.wav"", ""data/processed/audio/train/11_03-01-01-01-02-01-11_win0.wav"", ""data/processed/audio/train/11_03-01-01-01-02-02-11_win0.wav"", ""data/processed/audio/train/11_03-01-02-01-01-01-11_win0.wav""]","[0, 0, 0, 0]",0,0,train
seq_000051,11,2,"[""11_03-01-01-01-02-01-11"", ""11_03-01-01-01-02-02-11"", ""11_03-01-02-01-01-01-11"", ""11_03-01-02-01-01-02-11""]","[""data/processed/audio/train/11_03-01-01-01-02-01-11_win0.wav"", ""data/processed/audio/train/11_03-01-01-01-02-02-11_win0.wav"", ""data/processed/audio/train/11_03-01-02-01-01-01-11_win0.wav"", ""data/processed/audio/train/11_03-01-02-01-01-02-11_win0.wav""]","[0, 0, 0, 0]",0,0,train
seq_000052,11,3,"[""11_03-01-01-01-02-02-11"", ""11_03-01-02-01-01-01-11"", ""11_03-01-02-01-01-02-11"", ""11_03-01-02-01-02-01-11""]","[""data/processed/audio/train/11_03-01-01-01-02-02-11_win0.wav"", ""data/processed/audio/train/11_03-01-02-01-01-01-11_win0.wav"", ""data/processed/audio/train/11_03-01-02-01-01-02-11_win0.wav"", ""data/processed/audio/train/11_03-01-02-01-02-01-11_win0.wav""]","[0, 0, 0, 0]",0,0,train
seq_000053,11,4,"[""11_03-01-02-01-01-01-11"", ""11_03-01-02-01-01-02-11"", ""11_03-01-02-01-02-01-11"", ""11_03-01-02-01-02-02-11""]","[""data/processed/audio/train/11_03-01-02-01-01-01-11_win0.wav"", ""data/processed/audio/train/11_03-01-02-01-01-02-11_win0.wav"", ""data/processed/audio/train/11_03-01-02-01-02-01-11_win0.wav"", ""data/processed/audio/train/11_03-01-02-01-02-02-11_win0.wav""]","[0, 0, 0, 0]",0,0,train
seq_000054,11,5,"[""11_03-01-02-01-01-02-11"", ""11_03-01-02-01-02-01-11"", ""11_03-01-02-01-02-02-11"", ""11_03-01-02-02-01-01-11""]","[""data/processed/audio/train/11_03-01-02-01-01-02-11_win0.wav"", ""data/processed/audio/train/11_03-01-02-01-02-01-11_win0.wav"", ""data/processed/audio/train/11_03-01-02-01-02-02-11_win0.wav"", ""data/processed/audio/train/11_03-01-02-02-01-01-11_win0.wav""]","[0, 0, 0, 0]",0,0,train
seq_000055,11,6,"[""11_03-01-02-01-02-01-11"", ""11_03-01-02-01-02-02-11"", ""11_03-01-02-02-01-01-11"", ""11_03-01-02-02-01-02-11""]","[""data/processed/audio/train/11_03-01-02-01-02-01-11_win0.wav"", ""data/processed/audio/train/11_03-01-02-01-02-02-11_win0.wav"", ""data/processed/audio/train/11_03-01-02-02-01-01-11_win0.wav"", ""data/processed/audio/train/11_03-01-02-02-01-02-11_win0.wav""]","[0, 0, 0, 0]",0,0,train
